matchUrl,chosenSourceFile,allSourceFiles,sourceCopies
https://ru.bsportsfan.com/table-tennis/r/12296649/yaroslav-makovka-vs-yevhenii-holoborodko,bsportsfan-telegram-prediction-dataset-500-1785096901271.json,bsportsfan-telegram-prediction-dataset-500-1785096901271.json,1
https://ru.bsportsfan.com/table-tennis/r/12296652/maksym-khomenko-vs-volodymyr-ivasiv-1971,bsportsfan-telegram-prediction-dataset-500-1785096901271.json,bsportsfan-telegram-prediction-dataset-500-1785096901271.json,1
https://ru.bsportsfan.com/table-tennis/r/12296654/vasyl-moshovskyi-vs-yaroslav-tebenko,bsportsfan-telegram-prediction-dataset-500-1785096901271.json,bsportsfan-telegram-prediction-dataset-500-1785096901271.json,1
https://ru.bsportsfan.com/table-tennis/r/12296655/petr-kotrbacek-vs-jakub-dufek-jnr,bsportsfan-telegram-prediction-dataset-500-1785096901271.json,bsportsfan-telegram-prediction-dataset-500-1785096901271.json,1
https://ru.bsportsfan.com/table-tennis/r/12296656/taras-gil-vs-volodymyr-dobrovolskyi,bsportsfan-telegram-prediction-dataset-500-1785096901271.json,bsportsfan-telegram-prediction-dataset-500-1785096901271.json,1
https://ru.bsportsfan.com/table-tennis/r/12296673/yevhen-masko-vs-oleksandr-tuzhylin,bsportsfan-telegram-prediction-dataset-500-1785096901271.json,bsportsfan-telegram-prediction-dataset-500-1785096901271.json,1
https://ru.bsportsfan.com/table-tennis/r/12296679/maksym-marchuk-vs-oleksandr-gomilko,bsportsfan-telegram-prediction-dataset-500-1785096901271.json,bsportsfan-telegram-prediction-dataset-500-1785096901271.json,1
https://ru.bsportsfan.com/table-tennis/r/12296689/ruslan-novak-vs-volodymyr-ivasiv-1971,bsportsfan-telegram-prediction-dataset-500-1785096901271.json,bsportsfan-telegram-prediction-dataset-500-1785096901271.json,1
https://ru.bsportsfan.com/table-tennis/r/12296695/yevhen-masko-vs-valerii-melnyk,bsportsfan-telegram-prediction-dataset-500-1785096901271.json,bsportsfan-telegram-prediction-dataset-500-1785096901271.json,1
https://ru.bsportsfan.com/table-tennis/r/12296710/yevhen-masko-vs-roman-reznychenko,bsportsfan-telegram-prediction-dataset-500-1785096901271.json,bsportsfan-telegram-prediction-dataset-500-1785096901271.json,1
https://ru.bsportsfan.com/table-tennis/r/12296736/yaroslav-tebenko-vs-oleksii-rodin,bsportsfan-telegram-prediction-dataset-500-1785096901271.json,bsportsfan-telegram-prediction-dataset-500-1785096901271.json,1
https://ru.bsportsfan.com/table-tennis/r/12296740/josef-hanacek-vs-jan-seeman,bsportsfan-telegram-prediction-dataset-500-1785096901271.json,bsportsfan-telegram-prediction-dataset-500-1785096901271.json,1
https://ru.bsportsfan.com/table-tennis/r/12296745/dmytro-derevynskyi-vs-yan-krol,bsportsfan-telegram-prediction-dataset-500-1785096901271.json,bsportsfan-telegram-prediction-dataset-500-1785096901271.json,1
