sourceArchive,matchUrl,recordKind,createdAt,players,prematchDecision,prematchSent,liveSignals,finalScore,resultStatus,pointSnapshots,leftPlayer,rightPlayer,leftWinOdds,rightWinOdds,winOddsSource,winOddsObservedAt,pairRegimeBranch,pairRegimeAccepted,pairPointWindow,pairFormEdge,pairStrengthSum,pairStrengthEdge,pairSelectedLatePointRate,decision,sent,protocolId,gateId,signalMode,pbpFilterAccepted,accuracyModeAccepted,moderateModeAccepted,pbpPointWindow,baseSelectedSideIndex,selectedSideIndex,sideCorrectionApplied,sideCorrectionReason,relativeAgreementScore,latestPbpReversal,leftCollapseCount,rightCollapseCount,collapseSum,collapseDifference,collapseSumWithinLimit,collapseCountsUnequal,collapseAccepted,selectedStrengthScore,opponentStrengthScore,selectedStrengthEdge,strongSelectedStrengthException,selectedHistoryMatches,selectedHistorySetSharePct,selectedHistorySetShareException,selectedFreshForm3Score,opponentFreshForm3Score,selectedHistory5WindowMatches,opponentHistory5WindowMatches,selectedHistory5SetSharePct,opponentHistory5SetSharePct,selectedHistory5SetShareEdge,selectedHistory8PerformancePct,opponentHistory8PerformancePct,relativeHistoryWindowReady,selectedFreshAtOrAboveHistory8,opponentFreshAtOrAboveHistory8,relativeFormSetShareException
bsportsfan-telegram-prediction-games-610-1785446385942.csv,https://ru.bsportsfan.com/table-tennis/r/12317123/andrii-fastov-vs-serhii-priadko,forecasted,29.07 17:02,Андрий Фастов vs Сергей Прядко,,,,0-3,hit,16,Андрий Фастов,Сергей Прядко,2.6,1.444,bsportsfan-odds,29.07 17:02,,,,,,,,СТАВИМ,1,start-collapse-salvage-v4-2026-07-28,collapse-or-strength-15-or-history-share-61_5-or-relative-form-h5-edge-10,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-games-610-1785446385942.csv,https://ru.bsportsfan.com/table-tennis/r/12317125/evhenii-hrytsenko-vs-volodymyr-maksiuta,observed_only,29.07 14:43,Евгений Гриценко vs Владимир Максюта,,,,,,18,Евгений Гриценко,Владимир Максюта,,,,-,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-games-610-1785446385942.csv,https://ru.bsportsfan.com/table-tennis/r/12317126/viktor-sharpai-vs-andrii-lifanov,forecasted,29.07 21:35,Виктор Шарпай vs Андрей Лифанов,,,,3-1,miss,34,Виктор Шарпай,Андрей Лифанов,,,,-,,,,,,,,СТАВИМ,1,start-collapse-salvage-v4-2026-07-28,collapse-or-strength-15-or-history-share-61_5-or-relative-form-h5-edge-10,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-games-610-1785446385942.csv,https://ru.bsportsfan.com/table-tennis/r/12317133/artem-yurkov-vs-andrii-hrabskyi,observed_only,29.07 14:34,Артем Юрков vs Андрей Грабский,,,,,,1,Артем Юрков,Андрей Грабский,,,,-,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-games-610-1785446385942.csv,https://ru.bsportsfan.com/table-tennis/r/12317134/oleksandr-bondarchuk-vs-illia-hermakivskyi,forecasted,29.07 15:31,Олександр Бондарчук vs Илья Гермаковский,,,,3-2,hit,0,Олександр Бондарчук,Илья Гермаковский,1.527,2.363,bsportsfan-odds-frame,29.07 15:29,,,,,,,,СТАВИМ,1,start-collapse-salvage-v4-2026-07-28,collapse-or-strength-15-or-history-share-61_5-or-relative-form-h5-edge-10,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-games-610-1785446385942.csv,https://ru.bsportsfan.com/table-tennis/r/12317135/ihor-emets-vs-anatolii-kovalenko,observed_only,29.07 10:46,Игорь Емец vs Анатолий Коваленко,,,,,,15,Игорь Емец,Анатолий Коваленко,,,,-,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-games-610-1785446385942.csv,https://ru.bsportsfan.com/table-tennis/r/12317137/mykola-treshchetka-vs-dmytro-belanchyk,observed_only,29.07 16:27,Микола Трешчетка vs Дмитро Беланчик,,,,,,41,Микола Трешчетка,Дмитро Беланчик,,,,-,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-games-610-1785446385942.csv,https://ru.bsportsfan.com/table-tennis/r/12317139/volodymyr-maksiuta-vs-maksym-deineha,observed_only,29.07 20:44,Владимир Максюта vs Максим Дейнеха,,,,,,45,Владимир Максюта,Максим Дейнеха,,,,-,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-games-610-1785446385942.csv,https://ru.bsportsfan.com/table-tennis/r/12317142/vitalii-s-marushchak-vs-artem-yurkov,observed_only,29.07 16:03,Виталий С. Марущак vs Артем Юрков,,,,,,16,Виталий С. Марущак,Артем Юрков,,,,-,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-games-610-1785446385942.csv,https://ru.bsportsfan.com/table-tennis/r/12317144/andrii-lifanov-vs-ivan-elfemov,observed_only,29.07 20:41,Андрей Лифанов vs Иван Ельфемов,,,,,,18,Андрей Лифанов,Иван Ельфемов,,,,-,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-games-610-1785446385942.csv,https://ru.bsportsfan.com/table-tennis/r/12317145/ihor-sukovatyi-vs-oleksandr-pohonov,observed_only,29.07 20:41,Игорь Суковатый vs Александр Похонов,,,,,,34,Игорь Суковатый,Александр Похонов,,,,-,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-games-610-1785446385942.csv,https://ru.bsportsfan.com/table-tennis/r/12317147/ihor-torhachov-vs-serhii-priadko,forecasted,29.07 15:30,Игорь Торгачев vs Сергей Прядко,,,,2-3,hit,0,Игорь Торгачев,Сергей Прядко,1.57,2.25,bsportsfan-odds-frame,29.07 15:30,,,,,,,,ПРОПУСК,0,start-collapse-salvage-v4-2026-07-28,collapse-or-strength-15-or-history-share-61_5-or-relative-form-h5-edge-10,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-games-610-1785446385942.csv,https://ru.bsportsfan.com/table-tennis/r/12317148/viktor-sharpai-vs-mykhailo-skliar,forecasted,29.07 17:10,Виктор Шарпай vs Михаил Скляр,,,,,,29,Виктор Шарпай,Михаил Скляр,1.608,2.2,bsportsfan-odds,29.07 17:06,,,,,,,,ПРОПУСК,0,start-collapse-salvage-v4-2026-07-28,collapse-or-strength-15-or-history-share-61_5-or-relative-form-h5-edge-10,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-games-610-1785446385942.csv,https://ru.bsportsfan.com/table-tennis/r/12317149/ondrej-mezera-vs-stepan-rejent,forecasted,29.07 16:15,Ондрей Мезера vs Степан Реджент,,,,1-3,hit,45,Ондрей Мезера,Степан Реджент,2.25,1.57,bsportsfan-odds,29.07 16:14,,,,,,,,СТАВИМ,1,start-collapse-salvage-v4-2026-07-28,collapse-or-strength-15-or-history-share-61_5-or-relative-form-h5-edge-10,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-games-610-1785446385942.csv,https://ru.bsportsfan.com/table-tennis/r/12317151/oleg-varlamov-vs-volodymyr-maksiuta,observed_only,29.07 16:43,Олег Варламов vs Владимир Максюта,,,,,,26,Олег Варламов,Владимир Максюта,,,,-,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-games-610-1785446385942.csv,https://ru.bsportsfan.com/table-tennis/r/12317153/oleksandr-maslovskyi-vs-oleh-maksymkiv,forecasted,29.07 16:56,Александр Масловский vs Олег Максимков,,,,0-3,miss,26,Александр Масловский,Олег Максимков,,,,-,,,,,,,,СТАВИМ,1,start-collapse-salvage-v4-2026-07-28,collapse-or-strength-15-or-history-share-61_5-or-relative-form-h5-edge-10,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-games-610-1785446385942.csv,https://ru.bsportsfan.com/table-tennis/r/12317154/oleksandr-zhyrnov-vs-evhenii-hrytsenko,forecasted,29.07 16:12,Александр Жирнов vs Евгений Гриценко,,,,,,32,Александр Жирнов,Евгений Гриценко,2,1.727,bsportsfan-odds,29.07 16:09,,,,,,,,ПРОПУСК,0,start-collapse-salvage-v4-2026-07-28,collapse-or-strength-15-or-history-share-61_5-or-relative-form-h5-edge-10,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-games-610-1785446385942.csv,https://ru.bsportsfan.com/table-tennis/r/12317159/evhenii-hrytsenko-vs-maksym-deineha,forecasted,29.07 17:10,Евгений Гриценко vs Максим Дейнеха,,,,,,30,Евгений Гриценко,Максим Дейнеха,1.573,2.275,bsportsfan-odds,29.07 17:09,,,,,,,,ПРОПУСК,0,start-collapse-salvage-v4-2026-07-28,collapse-or-strength-15-or-history-share-61_5-or-relative-form-h5-edge-10,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bsportsfan-telegram-prediction-games-610-1785446385942.csv,https://ru.bsportsfan.com/table-tennis/r/12317161/vitalii-s-marushchak-vs-andrii-hrabskyi,forecasted,29.07 10:51,Виталий С. Марущак vs Андрей Грабский,,,,3-1,hit,29,Виталий С. Марущак,Андрей Грабский,1.9,1.8,bsportsfan-odds-frame,29.07 10:48,,,,,,,,СТАВИМ,1,start-collapse-salvage-v4-2026-07-28,collapse-or-strength-15-or-history-share-61_5-or-relative-form-h5-edge-10,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
